,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
ADBE,S&P; 500,39.92,5.67,0.31%,496.79M,0.47%,112.37B,23.49,9.63,-3.43%,487.09M,-11.39%,2.82B,1.76,1.61,87.90%,1.14%,-16.38%,9.03B,12.44,45.90%,-0.33%,1.22,-7.37%,18.08,12.51,23.93%,14.40%,290.04,24.94%,9.95,22.73,22.65%,25.00%,179.34 - 277.61,-0.02%,-,34.35,15.30%,16.70%,-18.52%,1.23,-,1.70,10.60%,86.80%,26.12%,9.74,17973,1.70,24.40%,28.80%,48.21,3.40% 4.30%,Yes,0.21,59.90%,24.00%,0.89,215.70,Yes,0.21,Dec 13 AMC,0.00%,4.54M,226.19,2.00,-1.44%,-4.29%,-7.29%,"4,026,512",4.86%
ADI,S&P; 500,20.11,4.11,0.10%,378.90M,-3.13%,31.33B,13.95,5.93,-27.11%,368.72M,-11.57%,1.54B,2.15,1.28,92.30%,3.08%,-9.95%,6.20B,5.05,99.00%,1.34%,3.24,-14.22%,29.61,2.79,7.63%,7.20%,101.71,-9.53%,-,-,9.34%,13.90%,76.62 - 103.59,-3.66%,1.92,21.11,13.90%,10.30%,-20.18%,1.15,2.32%,1.10,18.70%,68.30%,7.92%,2.87,15800,1.50,3.60%,30.30%,42.76,3.12% 3.32%,Yes,0.58,25.50%,24.00%,0.99,80.73,Yes,0.57,Nov 20 BMO,47.10%,3.51M,82.69,2.20,-3.88%,-4.23%,-10.31%,"3,459,179",2.43%
ADM,S&P; 500,11.53,3.62,0.20%,577.34M,1.83%,24.08B,11.43,3.65,-9.68%,559.09M,-10.95%,2.05B,-,0.93,78.50%,1.79%,-17.32%,64.46B,0.37,10.30%,-0.20%,2.63,-9.99%,33.61,1.24,2.64%,5.70%,53.64,4.85%,-,-,-8.80%,12.20%,39.16 - 52.06,1.81%,1.34,-,17.90%,4.20%,-19.89%,0.93,3.21%,0.90,5.40%,6.30%,6.51%,1.04,31300,1.70,6.60%,3.00%,39.36,1.88% 2.64%,Yes,0.41,181.20%,3.50%,0.82,40.77,Yes,0.35,Feb 05 BMO,32.70%,3.82M,41.71,2.20,-2.41%,-8.08%,-10.54%,"3,117,107",2.31%
ADP,S&P; 500,33.60,3.91,0.20%,450.01M,1.16%,59.06B,21.98,5.97,-22.29%,437.11M,-10.97%,1.73B,2.02,1.18,79.80%,1.08%,-13.42%,13.57B,4.35,-4.90%,0.14%,1.90,-1.85%,10.71,12.25,13.28%,4.20%,158.33,11.93%,3.59,36.51,16.66%,39.70%,107.61 - 153.51,0.09%,3.16,52.38,9.70%,24.40%,-14.51%,1.00,2.41%,1.00,7.10%,48.40%,21.96%,4.01,57000,1.00,8.00%,16.90%,46.11,2.29% 3.11%,Yes,0.43,24.20%,12.70%,0.85,126.21,Yes,0.43,Jan 30 BMO,64.20%,2.49M,131.24,2.40,-1.43%,-5.74%,-3.07%,"2,108,671",3.99%
ADS,S&P; 500,10.12,15.98,2.10%,56.21M,6.46%,9.09B,6.49,24.90,-43.11%,53.03M,-18.76%,884.60M,0.84,7.00,97.60%,2.68%,-31.77%,7.84B,1.16,76.40%,-3.32%,2.36,-32.06%,41.81,3.87,9.72%,3.20%,248.39,-37.82%,64.06,2.52,12.08%,45.90%,142.58 - 278.33,7.74%,2.28,3.59,14.50%,4.70%,-41.90%,1.75,1.41%,2.40,16.20%,46.10%,13.41%,7.16,20000,2.40,1.80%,22.70%,43.71,4.27% 4.30%,Yes,10.75,28.50%,12.10%,1.28,151.45,Yes,7.32,Jan 17 BMO,13.00%,604.09K,161.70,2.10,-1.40%,-13.38%,-24.85%,"771,237",6.77%
ADSK,S&P; 500,-,-1.61,0.17%,222.67M,0.68%,28.56B,40.29,3.18,-7.56%,217.92M,-13.34%,-351.30M,-,0.42,98.40%,2.85%,-17.17%,2.39B,11.97,-4.40%,-0.95%,2.50,-3.40%,-1.55,-,227.57%,-8.20%,166.00,17.28%,4.84,26.49,-,132.30%,101.55 - 159.94,-0.26%,-,339.64,-35.40%,-41.40%,-19.79%,1.81,-,0.80,-2.30%,88.20%,26.32%,6.01,8800,0.80,28.30%,-10.40%,48.03,4.27% 4.73%,Yes,-,80.20%,-13.40%,0.99,121.85,Yes,-,Nov 20 AMC,-,2.49M,128.28,1.80,-1.16%,-2.99%,-5.60%,"2,469,590",5.28%
AEE,S&P; 500,18.83,3.43,0.10%,258.59M,-1.09%,16.70B,19.73,3.27,-6.51%,243.46M,-7.46%,841.00M,2.43,0.33,73.70%,2.08%,1.41%,6.27B,2.66,3.30%,2.91%,3.37,4.94%,31.36,2.06,-3.28%,2.60%,68.47,11.19%,0.04,1518.39,7.75%,9.30%,51.89 - 70.95,-0.98%,1.90,10.08,5.50%,6.60%,-8.96%,0.22,2.94%,0.40,1.30%,84.60%,24.47%,1.57,8615,0.60,0.10%,22.60%,42.48,2.08% 2.47%,Yes,1.15,23.20%,10.90%,1.12,63.69,Yes,0.99,Jan 30 BMO,64.90%,1.50M,64.59,2.70,-4.16%,-3.81%,4.04%,"1,691,099",1.41%
AEP,S&P; 500,18.73,3.92,0.15%,512.42M,-2.13%,37.63B,17.80,4.13,-0.23%,492.38M,-6.22%,1.93B,3.21,0.72,74.30%,1.79%,4.59%,16.21B,2.32,206.90%,-0.01%,3.05,3.25%,38.64,1.90,4.64%,3.00%,78.94,2.28%,1.86,39.51,5.83%,10.50%,62.71 - 81.05,-1.74%,2.68,9.96,8.10%,6.30%,-9.39%,0.05,3.65%,0.50,0.60%,79.30%,17.12%,1.70,17666,0.60,5.60%,17.70%,39.52,1.95% 2.40%,Yes,1.31,5.80%,12.10%,0.99,72.77,Yes,1.10,Jan 24 BMO,62.30%,2.89M,73.44,2.00,-4.57%,-3.32%,3.39%,"2,857,478",0.92%
AES,S&P; 500,41.01,0.36,0.20%,692.49M,2.45%,10.14B,11.20,1.31,2.59%,658.42M,-6.15%,239.00M,4.10,0.35,98.50%,1.65%,0.76%,10.76B,0.94,-,-2.02%,1.57,12.88%,4.99,2.93,8.20%,-,16.17,34.68%,2.29,6.38,10.00%,-,9.86 - 16.28,1.24%,0.55,-,11.00%,-0.80%,-10.07%,0.88,3.76%,1.10,-9.30%,23.90%,48.40%,0.42,21000,1.20,5.30%,-,48.30,2.56% 2.92%,Yes,5.87,-30.80%,-,0.87,14.17,Yes,5.47,Feb 05 BMO,-,6.91M,14.64,2.70,-2.00%,-2.88%,8.52%,"6,038,446",3.32%
AFL,S&P; 500,11.47,3.92,0.10%,777.47M,-0.13%,34.92B,10.75,4.18,-1.02%,744.26M,-2.50%,3.06B,1.35,0.94,70.50%,1.60%,-4.16%,22.08B,1.58,4.20%,-1.41%,3.08,4.37%,30.29,1.48,2.25%,3.50%,46.86,1.82%,4.41,10.18,8.50%,20.80%,41.41 - 48.19,-1.40%,1.04,6.44,1.90%,9.70%,-6.78%,0.82,2.32%,-,-3.80%,-,8.48%,1.13,11318,-,1.20%,20.30%,54.27,1.93% 2.61%,Yes,0.23,23.10%,22.50%,1.22,44.37,Yes,0.23,Jan 23 AMC,15.70%,3.88M,44.92,2.80,1.93%,1.83%,-0.20%,"4,742,839",1.24%
