,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
DLR,S&P; 500,79.58,1.32,0.05%,213.71M,0.00%,22.40B,77.24,1.36,-19.69%,206.20M,-9.56%,272.00M,-,0.30,-,6.20%,-4.37%,3.00B,7.47,-55.10%,0.63%,8.24,-8.54%,42.58,2.46,0.30%,1.30%,125.89,-7.81%,0.22,484.83,-4.51%,3.00%,96.56 - 125.10,-1.63%,4.04,583.31,-7.70%,2.50%,-16.22%,0.53,3.85%,-,14.00%,64.60%,8.54%,3.12,1436,-,26.10%,18.10%,42.12,2.51% 3.03%,Yes,1.05,604.40%,9.10%,0.95,102.67,Yes,1.05,Jan 24 AMC,293.70%,1.55M,104.81,2.00,-4.38%,-4.99%,-6.12%,"1,474,324",2.08%
DLTR,S&P; 500,18.55,5.01,1.20%,238.28M,6.37%,22.13B,15.98,5.81,0.04%,231.37M,7.18%,1.19B,2.01,1.92,94.50%,2.16%,13.91%,22.98B,0.96,28.10%,0.16%,1.45,10.60%,33.39,2.78,6.78%,10.80%,95.13,-14.01%,-,-,9.23%,23.30%,78.78 - 116.65,2.85%,-,31.01,12.50%,11.20%,-20.37%,0.58,-,0.50,24.60%,31.10%,17.91%,2.45,56300,2.20,4.20%,8.60%,69.06,2.30% 2.54%,Yes,0.65,17.00%,7.60%,0.95,90.76,Yes,0.65,Nov 29 BMO,0.00%,3.44M,92.89,2.20,7.82%,8.94%,5.02%,"3,264,305",2.35%
DNB,S&P; 500,17.10,8.41,0.20%,37.54M,0.90%,5.40B,16.88,8.52,0.00%,36.97M,-0.01%,314.00M,2.97,3.64,86.30%,3.34%,0.66%,1.79B,3.01,116.50%,-5.00%,2.54,14.05%,-20.08,-,4.06%,11.20%,139.50,21.51%,6.09,23.59,5.75%,-29.20%,105.42 - 145.00,0.73%,2.09,27.18,-1.40%,33.30%,-0.84%,0.83,1.45%,0.60,0.90%,68.10%,36.39%,0.90,4900,0.60,-4.90%,25.60%,59.13,0.64% 0.64%,Yes,-,-7.50%,13.00%,1.09,143.33,Yes,-,Jan 31 AMC,32.90%,487.34K,143.78,3.00,0.60%,0.80%,8.14%,"531,569",0.31%
DO,S&P; 500,-,-0.96,0.07%,138.64M,12.62%,1.50B,-,-1.36,-2.59%,137.34M,-17.87%,-131.90M,-,-0.37,-,12.90%,-46.67%,1.20B,1.25,105.20%,-3.67%,7.30,-44.87%,26.64,0.41,-22.50%,-2.20%,14.44,-45.37%,3.44,3.14,-,-3.60%,8.78 - 21.92,14.41%,-,12.76,-51.30%,2.30%,-50.73%,1.57,-,3.90,-13.00%,33.90%,23.01%,0.66,2400,3.90,-21.80%,-6.80%,49.53,7.09% 6.63%,Yes,0.00,-572.60%,-11.10%,1.06,10.40,Yes,0.54,Feb 04 BMO,-,2.42M,10.80,3.50,4.35%,-13.36%,-36.18%,"2,560,373",3.85%
DOV,S&P; 500,16.64,4.38,0.50%,151.74M,4.07%,11.07B,13.00,5.61,-6.41%,142.56M,-15.32%,677.40M,1.21,1.29,96.60%,2.29%,-17.19%,7.20B,1.54,48.40%,-0.12%,2.06,-0.04%,18.65,3.91,16.05%,7.60%,91.00,-11.82%,1.38,52.90,13.76%,20.10%,65.83 - 90.26,2.83%,1.92,43.11,6.40%,11.40%,-19.17%,1.36,2.63%,0.90,3.40%,37.10%,10.83%,2.32,29000,1.30,0.00%,13.00%,44.08,2.70% 3.31%,Yes,1.19,3.50%,10.10%,0.83,69.79,Yes,1.09,Jan 17 BMO,39.70%,1.58M,72.96,2.50,-1.42%,-9.10%,-8.93%,"1,313,156",4.54%
DRE,S&P; 500,24.09,1.06,0.10%,380.82M,-1.13%,9.68B,58.44,0.44,-4.75%,357.53M,-11.83%,373.80M,4.02,0.12,96.40%,1.42%,-8.56%,892.60M,10.85,-5.50%,-0.02%,2.34,-12.98%,13.06,1.95,-56.93%,6.70%,30.53,-5.18%,0.35,72.57,6.00%,11.00%,24.30 - 29.48,-1.85%,0.81,-,28.60%,5.20%,-13.77%,0.58,3.19%,-,-5.70%,64.30%,4.61%,0.74,400,-,19.00%,50.20%,37.77,2.46% 3.03%,Yes,0.56,22.70%,56.50%,1.09,25.07,Yes,0.56,Jan 23 AMC,56.60%,2.16M,25.42,2.20,-5.61%,-8.11%,-8.77%,"2,354,747",1.40%
DRI,S&P; 500,21.27,4.77,0.20%,127.28M,2.89%,12.91B,16.05,6.32,-32.21%,123.88M,-7.86%,599.40M,1.66,1.74,93.00%,6.04%,-6.02%,8.30B,1.56,8.70%,0.94%,4.52,-7.98%,18.38,5.52,11.17%,11.00%,122.32,2.90%,1.19,85.02,12.80%,27.80%,82.38 - 124.00,1.54%,3.00,19.41,18.20%,22.00%,-18.23%,0.36,2.96%,0.30,6.40%,21.50%,23.09%,3.20,180656,0.40,6.50%,9.20%,48.38,2.09% 3.23%,Yes,0.00,40.90%,7.20%,1.25,98.32,Yes,0.41,Dec 18 BMO,50.90%,1.66M,101.40,2.10,-0.28%,-4.67%,-1.51%,"2,070,148",3.13%
DTE,S&P; 500,14.81,7.43,0.20%,190.44M,-0.15%,20.95B,17.66,6.23,-7.59%,180.75M,-7.70%,1.34B,2.69,0.91,75.80%,2.78%,1.25%,13.73B,1.53,42.50%,3.26%,3.84,3.44%,56.08,1.96,-1.27%,3.50%,117.69,1.75%,0.44,249.36,5.50%,12.30%,94.25 - 121.00,-0.28%,3.78,12.25,12.30%,7.00%,-9.10%,0.19,3.44%,1.10,7.50%,-,16.70%,2.34,10200,1.50,9.40%,11.80%,39.64,1.86% 2.23%,Yes,1.34,21.80%,8.80%,0.93,108.34,Yes,1.33,Jan 23 BMO,51.60%,1.31M,109.99,2.80,-3.92%,-4.82%,1.46%,"1,214,123",1.52%
DUK,S&P; 500,21.56,3.96,0.07%,744.82M,-0.69%,63.59B,17.17,4.97,-2.15%,712.36M,-4.74%,2.80B,4.89,0.91,61.30%,2.22%,7.80%,24.21B,2.63,13.90%,0.99%,3.85,5.90%,60.30,1.42,4.56%,2.10%,87.65,2.89%,0.47,181.67,4.41%,6.90%,71.96 - 91.35,-1.08%,3.71,-,8.70%,4.70%,-6.55%,0.00,4.35%,0.50,5.60%,69.60%,18.64%,1.90,29060,0.70,2.30%,21.00%,44.83,1.78% 2.32%,Yes,1.32,10.60%,12.00%,0.80,84.67,Yes,1.17,Feb 01 BMO,87.40%,4.10M,85.37,2.60,-2.88%,-1.17%,5.65%,"3,278,016",0.83%
DVA,S&P; 500,25.09,2.15,0.10%,169.71M,6.55%,9.16B,11.42,4.73,0.00%,162.15M,-18.65%,364.80M,1.16,0.90,90.00%,3.06%,-25.43%,11.36B,0.81,-32.20%,-2.69%,2.71,-22.04%,22.93,2.35,31.80%,-,76.60,-25.94%,2.67,20.23,21.60%,-,48.25 - 80.71,4.94%,-,-,4.60%,8.80%,-33.09%,1.28,-,1.80,5.80%,28.60%,11.92%,2.08,74500,1.80,3.00%,-,44.13,3.07% 3.91%,Yes,2.67,-45.70%,-,1.35,50.98,Yes,2.21,Feb 06 AMC,-,1.83M,54.00,2.20,-1.58%,-11.99%,-19.37%,"2,471,988",5.92%
DVN,S&P; 500,-,-1.52,0.10%,488.96M,7.29%,12.01B,14.35,1.71,-1.13%,456.06M,-14.60%,-802.00M,-,0.39,86.10%,2.77%,-39.56%,11.01B,1.09,188.30%,-8.18%,1.53,-44.15%,18.31,1.34,10.24%,5.90%,42.58,-42.49%,6.34,3.87,47.88%,18.20%,20.37 - 46.54,9.01%,0.32,-,42.50%,9.50%,-47.21%,2.05,1.30%,1.50,8.00%,79.00%,20.62%,1.23,4900,1.50,33.40%,-5.80%,46.03,4.74% 4.94%,Yes,0.68,272.60%,14.50%,1.18,23.52,Yes,0.65,Feb 05 AMC,8.20%,8.26M,24.57,2.10,-0.25%,-13.12%,-33.59%,"9,714,492",4.46%
DWDP,DJIA S&P500;,116.94,0.47,0.10%,2.36B,2.63%,129.40B,11.56,4.73,-,2.28B,-7.49%,1.08B,16.71,0.88,72.10%,0.98%,-15.00%,85.94B,1.51,-92.00%,-0.14%,1.74,-17.16%,42.72,1.28,15.02%,1.10%,74.96,-25.08%,3.09,17.70,7.00%,2.10%,48.89 - 77.08,2.34%,1.52,-,-,0.70%,-29.00%,-,2.78%,1.00,-,22.00%,11.95%,2.02,98000,1.60,31.10%,2.60%,52.74,3.23% 3.89%,Yes,0.36,-35.70%,2.40%,1.03,52.51,Yes,0.28,Jan 31 BMO,166.10%,12.84M,54.73,1.90,3.26%,-0.91%,-13.86%,"13,289,037",4.23%
EA,S&P; 500,21.77,3.88,0.20%,309.61M,6.28%,26.14B,16.53,5.11,-26.28%,300.52M,0.50%,1.20B,1.66,1.94,-,2.99%,-27.47%,5.17B,5.06,33.00%,1.15%,1.79,-41.06%,17.43,4.84,11.70%,11.40%,120.60,-23.08%,14.68,5.75,13.10%,20.10%,73.91 - 151.26,6.98%,-,19.35,67.20%,22.60%,-44.19%,0.98,-,-,6.30%,73.50%,14.22%,3.19,9300,3.50,34.10%,25.00%,56.11,3.94% 4.02%,Yes,0.19,-,18.80%,1.40,78.71,Yes,0.19,Jan 29 AMC,0.00%,5.02M,84.42,1.90,5.55%,-1.71%,-27.71%,"7,011,868",7.25%
EBAY,S&P; 500,12.88,2.25,4.90%,979.04M,3.35%,28.36B,11.17,2.59,-0.46%,915.07M,-4.07%,2.27B,1.11,0.68,85.90%,2.30%,-11.54%,10.48B,2.71,-69.20%,-4.47%,1.49,-21.77%,7.11,4.07,12.54%,-3.40%,36.48,-26.13%,4.93,5.88,11.57%,-11.20%,26.01 - 46.99,3.21%,-,16.68,-0.20%,11.00%,-38.35%,1.23,-,1.70,-7.40%,77.50%,11.38%,0.88,14100,1.70,6.00%,21.00%,53.24,2.81% 3.27%,Yes,1.33,51.80%,-7.90%,1.02,28.32,Yes,1.11,Jan 29 AMC,-,14.19M,28.97,2.40,1.98%,1.29%,-16.14%,"14,441,336",2.30%
ECL,S&P; 500,29.19,5.02,0.40%,301.57M,1.22%,44.23B,24.83,5.91,-12.39%,287.41M,-8.06%,1.47B,2.17,1.55,89.00%,2.45%,-6.05%,14.56B,3.04,10.60%,-0.20%,5.43,4.21%,27.46,5.34,12.51%,8.00%,157.00,8.35%,0.74,196.93,13.47%,20.70%,125.74 - 162.91,-0.46%,1.84,46.54,14.30%,10.80%,-9.97%,0.89,1.25%,0.90,3.20%,42.70%,16.65%,4.12,48400,1.30,5.10%,13.70%,46.40,2.46% 2.77%,Yes,0.90,12.00%,11.00%,0.95,141.54,Yes,0.80,Jan 29 BMO,28.90%,1.30M,146.67,2.40,-1.64%,-3.87%,-0.77%,"1,237,000",3.62%
ED,S&P; 500,3.48,22.01,0.20%,330.67M,-0.36%,25.31B,17.70,4.33,0.31%,310.92M,-5.76%,6.87B,1.21,0.76,60.90%,6.55%,0.58%,12.35B,2.05,436.90%,-0.38%,8.54,-3.09%,51.07,1.50,0.63%,3.20%,78.80,-7.54%,0.60,127.20,2.87%,9.90%,71.12 - 84.32,0.12%,2.86,13.70,41.80%,23.30%,-9.21%,0.04,3.74%,0.60,-0.30%,79.00%,7.63%,1.85,15591,0.60,3.60%,20.70%,43.71,1.82% 2.57%,Yes,1.13,-5.70%,12.60%,0.90,75.33,Yes,0.97,Jan 31 AMC,56.60%,2.38M,76.55,3.30,-4.06%,-2.56%,-1.53%,"2,149,884",1.62%
EFX,S&P; 500,28.73,3.28,0.30%,121.91M,0.13%,11.49B,16.00,5.89,0.00%,119.60M,-8.48%,398.10M,11.54,1.32,91.80%,3.47%,-28.48%,3.42B,3.36,9.90%,-1.63%,2.70,-25.30%,26.43,3.57,2.86%,6.20%,119.07,-21.56%,2.08,45.34,2.49%,13.90%,88.68 - 138.69,1.20%,1.56,44.47,15.30%,10.70%,-32.04%,1.06,1.66%,1.20,10.20%,59.40%,6.28%,2.83,10300,1.20,-0.10%,17.40%,44.43,2.59% 3.07%,Yes,0.83,-60.20%,13.10%,0.50,91.34,Yes,0.83,Jan 23 AMC,42.00%,1.54M,94.25,2.30,-0.94%,-5.75%,-20.23%,"773,977",3.19%
EIX,S&P; 500,20.59,2.84,0.05%,336.91M,2.49%,19.68B,12.93,4.52,0.00%,325.41M,2.49%,928.00M,5.49,0.93,85.60%,1.64%,-14.64%,12.87B,1.53,-20.20%,1.70%,1.74,-10.51%,37.10,1.57,8.69%,0.90%,66.25,-6.90%,0.21,277.22,3.75%,3.90%,45.50 - 71.00,2.91%,2.45,-,-7.40%,6.40%,-17.72%,-0.01,4.19%,0.70,0.80%,57.50%,28.40%,1.83,12521,0.70,16.30%,11.40%,49.48,2.69% 3.21%,Yes,1.22,9.50%,3.60%,0.80,56.84,Yes,1.21,Jan 29 AMC,166.40%,3.06M,58.42,2.30,1.26%,-2.39%,-8.29%,"2,462,458",2.78%
EL,S&P; 500,30.31,4.29,0.30%,372.81M,1.19%,48.44B,24.12,5.39,-29.14%,217.44M,-14.89%,1.61B,3.21,1.54,93.80%,3.06%,-9.33%,13.93B,3.48,22.00%,-1.21%,2.82,-9.49%,12.01,10.82,10.89%,9.40%,154.92,0.23%,5.35,24.30,9.43%,25.70%,121.64 - 158.80,-0.14%,1.72,41.79,9.60%,19.60%,-18.19%,0.73,1.32%,1.30,6.10%,78.80%,6.81%,4.26,46000,1.80,7.60%,15.30%,45.21,2.73% 3.18%,Yes,0.80,17.60%,8.50%,0.89,125.68,Yes,0.76,Jan 30 BMO,47.30%,2.36M,129.92,2.00,-1.88%,-4.56%,-7.88%,"2,091,384",3.37%
EMN,S&P; 500,8.98,8.33,0.20%,143.08M,2.93%,10.71B,8.17,9.16,-8.39%,139.50M,-7.56%,1.20B,0.88,1.64,87.10%,2.11%,-23.14%,10.14B,1.06,24.30%,-1.51%,1.97,-24.76%,42.11,1.78,8.67%,9.50%,97.28,-21.52%,1.35,55.48,10.22%,27.20%,67.40 - 112.45,2.35%,2.48,19.68,19.60%,10.80%,-33.45%,1.19,3.31%,0.90,3.30%,24.70%,11.02%,2.59,14000,1.70,3.30%,15.60%,52.71,2.81% 3.59%,Yes,1.12,30.30%,15.20%,0.67,71.40,Yes,1.00,Jan 24 AMC,20.30%,1.50M,74.83,2.30,3.89%,-2.79%,-21.27%,"996,432",4.80%
EMR,S&P; 500,18.82,3.17,0.50%,641.73M,0.66%,38.32B,14.52,4.11,-3.69%,622.09M,-13.27%,2.01B,1.65,0.66,72.80%,1.42%,-23.94%,17.41B,2.20,24.10%,0.27%,1.96,-13.67%,14.25,4.19,12.53%,10.90%,75.10,-16.35%,1.70,35.06,11.44%,25.80%,55.38 - 79.70,-0.05%,1.96,36.64,2.70%,16.10%,-25.07%,1.19,3.28%,0.80,-6.70%,42.90%,7.83%,1.74,87500,1.10,10.20%,16.30%,43.34,2.13% 3.07%,Yes,0.53,-3.70%,12.70%,1.22,58.46,Yes,0.35,Feb 05 BMO,55.60%,4.50M,59.72,2.30,-0.33%,-7.91%,-15.07%,"5,482,166",2.16%
EOG,S&P; 500,19.78,4.75,0.40%,610.70M,5.78%,57.36B,15.42,6.09,-2.57%,577.17M,-13.13%,2.76B,-,1.54,88.20%,2.22%,-27.96%,16.01B,3.58,133.40%,-0.61%,3.27,-23.78%,32.11,2.92,4.30%,15.70%,133.37,-15.33%,2.09,45.02,-,28.70%,82.04 - 133.53,7.69%,0.88,9.01,-8.90%,2.90%,-29.66%,1.22,0.94%,0.90,-0.30%,54.90%,14.48%,3.98,2664,1.10,75.90%,23.90%,48.63,4.12% 4.24%,Yes,0.35,1084.50%,31.00%,0.99,89.97,Yes,0.28,Jan 31 AMC,8.80%,3.93M,93.92,2.00,-0.96%,-6.89%,-17.84%,"3,874,198",4.39%
EQIX,S&P; 500,215.99,1.64,0.50%,83.07M,2.14%,29.39B,56.34,6.28,-2.35%,79.77M,-9.54%,132.10M,21.65,1.23,-,1.30%,-16.81%,4.96B,5.92,-64.50%,0.99%,1.81,-19.62%,89.65,3.95,41.58%,1.60%,487.14,-21.20%,10.66,33.17,9.98%,4.60%,335.29 - 461.73,0.35%,9.12,-,-25.10%,3.00%,-23.38%,0.76,2.58%,1.20,18.30%,48.50%,5.52%,9.50,7273,1.20,11.40%,17.70%,40.42,2.57% 2.83%,Yes,1.59,53.20%,6.50%,0.95,345.94,Yes,1.54,Jan 31 AMC,212.00%,573.92K,353.79,1.70,-3.83%,-7.09%,-13.70%,"543,731",2.27%
EQR,S&P; 500,37.08,1.74,0.30%,403.85M,-2.27%,26.07B,46.78,1.38,-25.02%,375.46M,-10.18%,662.70M,13.73,0.36,88.90%,1.28%,-1.22%,2.56B,10.20,-86.10%,0.00%,2.66,0.33%,27.71,2.33,-17.86%,3.20%,70.16,1.13%,0.08,790.08,2.70%,6.50%,54.97 - 72.75,-2.20%,2.16,45.93,24.20%,4.40%,-11.26%,0.48,3.35%,-,7.20%,66.30%,17.45%,1.68,2700,-,4.60%,33.40%,39.62,2.30% 2.67%,Yes,0.87,49.80%,25.90%,0.81,64.16,Yes,0.87,Jan 22 AMC,115.90%,1.81M,64.56,2.80,-5.23%,-4.76%,-0.64%,"1,462,538",0.62%
EQT,S&P; 500,-,-5.73,0.10%,270.05M,-1.56%,5.27B,10.30,1.90,69.53%,252.80M,3.23%,-1527.80M,-,0.73,-,8.03%,-18.85%,4.78B,1.10,160.60%,1.00%,1.91,-34.76%,42.38,0.46,-14.56%,-1.10%,32.38,-39.15%,-,-,19.71%,-2.70%,16.29 - 32.46,3.34%,0.12,4.67,12.70%,4.00%,-39.86%,0.65,0.61%,0.50,19.70%,80.40%,19.83%,1.12,2067,0.50,75.80%,-28.30%,53.96,6.14% 6.14%,Yes,0.77,-213.80%,-6.90%,1.10,19.32,Yes,0.71,Jan 24 BMO,-,10.61M,19.52,2.10,2.17%,3.27%,-22.73%,"11,672,127",1.04%
ES,S&P; 500,19.61,3.27,0.10%,332.34M,-1.07%,21.30B,18.39,3.49,-13.08%,315.30M,-6.76%,1.04B,3.36,0.75,77.50%,1.56%,4.91%,8.35B,2.55,5.00%,-0.01%,2.87,7.32%,35.95,1.78,6.61%,2.80%,67.41,2.40%,0.18,360.40,5.83%,9.20%,52.76 - 70.53,-1.46%,2.02,-,10.40%,5.50%,-9.13%,0.22,3.15%,0.50,4.30%,-,21.47%,1.45,8084,0.60,14.20%,21.00%,41.30,1.91% 2.33%,Yes,1.25,11.10%,12.50%,0.80,63.45,Yes,1.12,Jan 31 BMO,60.80%,1.71M,64.09,2.20,-4.42%,-2.88%,4.78%,"1,365,894",1.01%
ESS,S&P; 500,42.06,5.67,0.10%,69.40M,-3.02%,16.54B,47.91,4.97,-16.88%,64.62M,-9.32%,374.40M,5.32,1.14,99.10%,1.43%,-2.43%,1.39B,11.88,4.50%,0.26%,2.17,-0.17%,95.64,2.49,-4.80%,3.00%,272.57,-1.75%,2.27,105.14,7.90%,5.90%,214.03 - 267.41,-2.82%,7.44,52.40,16.40%,3.70%,-10.89%,0.31,3.12%,-,20.40%,71.90%,11.34%,5.98,1835,-,1.90%,32.40%,35.01,2.20% 2.56%,Yes,0.89,1.50%,27.00%,0.81,237.84,Yes,0.89,Jan 28 BMO,126.80%,426.07K,238.30,2.20,-5.96%,-6.15%,-2.06%,"344,593",0.19%
ETFC,S&P; 500,12.88,3.52,0.30%,257.13M,4.14%,11.64B,10.84,4.18,4.42%,250.56M,-14.42%,933.00M,0.47,1.02,97.40%,1.84%,-13.60%,2.90B,4.01,19.20%,-0.41%,1.35,-24.47%,23.42,1.93,9.06%,1.40%,60.38,-10.55%,5.65,8.02,27.39%,14.20%,40.41 - 66.46,3.19%,0.56,7.35,51.50%,1.30%,-31.87%,1.23,1.24%,-,2.20%,91.40%,12.05%,1.60,4091,-,23.70%,46.60%,49.09,2.92% 3.73%,Yes,7.41,103.70%,30.20%,0.60,43.40,Yes,0.32,Jan 17 AMC,0.00%,3.40M,45.28,1.70,2.62%,-6.02%,-19.67%,"2,050,995",4.33%
ETN,S&P; 500,14.41,4.76,0.10%,443.49M,-0.29%,30.39B,11.65,5.88,-11.03%,432.38M,-12.15%,2.09B,1.37,1.43,81.60%,2.26%,-21.88%,21.36B,1.42,55.80%,-0.76%,3.25,-9.64%,38.65,1.77,9.82%,6.70%,86.63,-16.06%,1.14,60.18,10.54%,12.70%,64.46 - 89.85,-0.19%,2.64,30.15,13.50%,8.40%,-23.73%,1.37,3.85%,1.00,4.60%,32.70%,6.31%,2.01,98000,1.50,-64.40%,12.20%,44.93,2.08% 3.02%,Yes,0.43,-81.80%,10.10%,1.26,66.63,Yes,0.40,Jan 29 BMO,52.40%,3.01M,68.53,2.20,-1.21%,-4.88%,-12.09%,"3,792,685",2.85%
ETR,S&P; 500,15.55,5.45,0.20%,188.80M,-0.63%,16.01B,14.14,6.00,-41.93%,180.68M,-3.43%,997.50M,-,0.47,93.80%,6.25%,5.56%,11.12B,1.44,265.00%,-0.57%,7.20,3.47%,46.48,1.82,-14.67%,0.90%,90.03,3.81%,5.23,16.20,-3.92%,5.40%,71.95 - 90.79,-1.48%,3.64,8.26,2.50%,5.20%,-6.60%,0.31,4.29%,0.50,1.50%,85.10%,17.86%,1.84,13504,0.60,-4.30%,8.20%,45.33,1.75% 2.33%,Yes,2.20,32.40%,3.90%,0.67,84.17,Yes,1.88,Jan 30 BMO,148.40%,1.57M,84.80,2.40,-2.59%,-1.26%,3.22%,"1,056,258",0.75%
EW,S&P; 500,32.45,4.58,0.10%,215.46M,-0.86%,32.04B,28.60,5.20,-67.99%,207.80M,-9.01%,976.30M,2.33,1.17,87.10%,1.30%,-4.51%,3.63B,8.82,55.50%,0.25%,1.62,1.54%,16.08,9.25,10.71%,12.30%,170.15,29.78%,7.41,20.08,13.93%,22.40%,113.72 - 175.00,-2.91%,-,39.24,27.00%,22.00%,-15.02%,0.96,-,1.80,12.60%,74.10%,30.78%,5.54,12200,2.30,10.40%,29.90%,46.08,3.13% 3.65%,Yes,0.36,31.90%,19.60%,0.76,143.66,Yes,0.18,Jan 22 AMC,0.00%,1.66M,148.72,2.30,-3.49%,-2.33%,1.97%,"1,258,170",3.52%
EXC,S&P; 500,11.59,3.85,0.10%,1.01B,-0.36%,45.18B,14.16,3.15,0.00%,964.78M,-4.00%,3.73B,2.22,0.57,80.80%,1.59%,3.53%,35.55B,1.27,224.70%,0.02%,2.55,3.96%,32.05,1.39,0.99%,3.20%,47.37,14.23%,-,-,5.23%,12.30%,35.57 - 47.40,-1.06%,1.38,-,22.90%,6.70%,-5.86%,0.24,3.09%,1.20,7.40%,55.30%,25.44%,1.01,34621,1.30,7.20%,12.50%,45.51,1.96% 2.35%,Yes,1.18,-11.40%,10.50%,0.91,44.12,Yes,1.13,Jan 31 BMO,35.30%,6.01M,44.62,2.20,-2.53%,-1.35%,4.91%,"5,478,127",1.13%
EXPD,S&P; 500,21.02,3.18,0.10%,177.10M,-0.15%,11.85B,19.60,3.42,-17.42%,171.49M,-12.97%,569.30M,1.72,0.85,99.70%,3.69%,-8.49%,7.80B,1.52,5.10%,-0.92%,4.62,-7.47%,11.28,5.93,3.23%,18.90%,73.21,2.84%,5.59,11.96,12.20%,31.00%,59.10 - 78.16,-1.72%,0.90,25.92,9.50%,21.70%,-14.38%,0.88,1.34%,2.00,2.90%,32.90%,13.23%,2.18,16500,2.00,16.00%,10.00%,45.21,2.85% 3.22%,Yes,0.00,39.50%,7.80%,1.01,64.98,Yes,0.00,Feb 05 BMO,25.20%,1.37M,66.92,3.10,-2.73%,-4.68%,-5.65%,"1,388,160",2.99%
EXPE,S&P; 500,40.46,2.80,8.50%,150.41M,-1.12%,17.01B,17.26,6.55,-0.09%,117.99M,-6.27%,430.00M,2.43,1.08,90.20%,7.51%,-12.58%,10.98B,1.55,27.60%,0.63%,5.01,-8.67%,29.34,3.85,16.11%,2.30%,147.00,-9.65%,22.46,5.04,16.67%,10.40%,98.52 - 139.77,0.39%,1.28,17.52,1.50%,6.40%,-19.09%,1.06,1.13%,0.70,20.10%,82.50%,14.79%,3.64,22615,0.70,10.50%,6.70%,44.03,2.85% 3.20%,Yes,0.85,53.50%,4.00%,1.29,108.52,Yes,0.85,Jan 24 AMC,41.00%,1.77M,113.09,2.10,-2.20%,-4.58%,-6.50%,"2,285,248",4.21%
EXR,S&P; 500,22.28,3.94,0.50%,132.20M,-3.15%,11.61B,28.39,3.09,-0.79%,122.49M,-9.45%,520.30M,3.71,0.76,-,6.46%,3.34%,1.17B,9.92,27.30%,-0.35%,7.73,-12.74%,18.94,4.64,7.58%,5.30%,97.31,2.31%,0.34,255.78,6.00%,17.00%,77.53 - 101.96,-2.92%,3.44,41.11,26.50%,7.70%,-13.84%,0.21,3.92%,-,22.00%,73.40%,13.30%,2.17,3380,-,8.00%,48.30%,37.45,2.37% 2.47%,Yes,1.99,31.20%,34.30%,0.81,88.46,Yes,1.99,Jan 29 AMC,103.10%,1.02M,87.84,2.60,-6.34%,-4.85%,-4.49%,"831,233",-0.70%
F,S&P; 500,5.57,1.45,23.80%,4.20B,2.93%,33.91B,6.10,1.33,0.00%,3.90B,-15.83%,5.80B,0.37,0.33,56.90%,2.45%,-11.50%,159.87B,0.21,56.80%,-0.20%,1.92,-26.88%,9.20,0.88,-0.67%,2.40%,10.02,-35.96%,8.66,0.93,15.00%,17.10%,7.41 - 13.33,5.62%,0.60,5.54,5.00%,2.00%,-39.38%,0.82,7.43%,1.10,3.30%,9.30%,9.04%,0.32,202000,1.20,3.30%,2.20%,42.28,4.35% 3.95%,Yes,4.19,-37.00%,3.90%,0.87,7.78,Yes,2.81,Jan 23 AMC,41.70%,49.73M,8.08,2.90,-2.54%,-8.88%,-20.27%,"43,034,764",3.86%
FANG,S&P; 500,13.74,7.28,0.10%,104.92M,7.59%,10.48B,11.51,8.68,-11.90%,100.70M,-10.91%,721.50M,0.41,1.75,-,12.32%,-28.58%,1.94B,5.39,356.20%,7.49%,4.10,-24.30%,60.15,1.66,27.67%,7.50%,153.27,-22.64%,4.85,20.62,33.24%,11.80%,85.19 - 140.78,7.80%,0.50,7.55,49.30%,10.30%,-29.02%,0.95,0.50%,1.10,74.30%,81.60%,17.30%,4.65,251,1.10,78.60%,53.00%,53.43,4.05% 4.89%,Yes,0.39,114.10%,33.60%,0.86,96.16,Yes,0.39,Feb 05 AMC,3.80%,3.02M,99.93,1.70,5.79%,-4.96%,-17.54%,"2,600,388",3.92%
